gender,goal,level,muscle_split_type,focus_area,problem_area,body_type,age,workout_days,plan_title
MALE,LOSE WEIGHT,BEGINNER,UPPER_LOWER,NULL,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,5,MALE_LOSE WEIGHT_BEGINNER_UPPER_LOWER_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_5
MALE,LOSE WEIGHT,BEGINNER,UPPER_LOWER,NULL,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,6,MALE_LOSE WEIGHT_BEGINNER_UPPER_LOWER_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,LOSE WEIGHT,BEGINNER,SINGLE,ABT,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,5,MALE_LOSE WEIGHT_BEGINNER_SINGLE_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_5
MALE,LOSE WEIGHT,BEGINNER,SINGLE,ABT,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,6,MALE_LOSE WEIGHT_BEGINNER_SINGLE_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,LOSE WEIGHT,BEGINNER,MULTI,ABT,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,3,MALE_LOSE WEIGHT_BEGINNER_MULTI_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_3
MALE,LOSE WEIGHT,BEGINNER,MULTI,ABT,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,4,MALE_LOSE WEIGHT_BEGINNER_MULTI_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_4
MALE,LOSE WEIGHT,BEGINNER,MULTI,ABT,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,5,MALE_LOSE WEIGHT_BEGINNER_MULTI_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_5
MALE,LOSE WEIGHT,BEGINNER,MULTI,ABT,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,6,MALE_LOSE WEIGHT_BEGINNER_MULTI_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,LOSE WEIGHT,BEGINNER,PUSH_PULL_LEGS,ABT,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,6,MALE_LOSE WEIGHT_BEGINNER_PUSH_PULL_LEGS_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,LOSE WEIGHT,BEGINNER,UPPER_LOWER,ABT,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,3,MALE_LOSE WEIGHT_BEGINNER_UPPER_LOWER_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_3
MALE,LOSE WEIGHT,BEGINNER,UPPER_LOWER,ABT,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,4,MALE_LOSE WEIGHT_BEGINNER_UPPER_LOWER_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_4
MALE,LOSE WEIGHT,BEGINNER,UPPER_LOWER,ABT,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,5,MALE_LOSE WEIGHT_BEGINNER_UPPER_LOWER_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_5
MALE,LOSE WEIGHT,BEGINNER,UPPER_LOWER,ABT,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,6,MALE_LOSE WEIGHT_BEGINNER_UPPER_LOWER_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,BODY RECOMP,BEGINNER,SINGLE,NULL,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,5,MALE_BODY RECOMP_BEGINNER_SINGLE_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_5
MALE,BODY RECOMP,BEGINNER,SINGLE,NULL,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,6,MALE_BODY RECOMP_BEGINNER_SINGLE_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,BODY RECOMP,BEGINNER,MULTI,NULL,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,3,MALE_BODY RECOMP_BEGINNER_MULTI_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_3
MALE,BODY RECOMP,BEGINNER,MULTI,NULL,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,4,MALE_BODY RECOMP_BEGINNER_MULTI_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_4
MALE,BODY RECOMP,BEGINNER,MULTI,NULL,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,5,MALE_BODY RECOMP_BEGINNER_MULTI_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_5
MALE,BODY RECOMP,BEGINNER,MULTI,NULL,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,6,MALE_BODY RECOMP_BEGINNER_MULTI_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,BODY RECOMP,BEGINNER,PUSH_PULL_LEGS,NULL,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,3,MALE_BODY RECOMP_BEGINNER_PUSH_PULL_LEGS_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_3
MALE,BODY RECOMP,BEGINNER,PUSH_PULL_LEGS,NULL,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,4,MALE_BODY RECOMP_BEGINNER_PUSH_PULL_LEGS_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_4
MALE,BODY RECOMP,BEGINNER,PUSH_PULL_LEGS,NULL,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,6,MALE_BODY RECOMP_BEGINNER_PUSH_PULL_LEGS_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,BODY RECOMP,BEGINNER,SINGLE,ABT,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,5,MALE_BODY RECOMP_BEGINNER_SINGLE_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_5
MALE,BODY RECOMP,BEGINNER,SINGLE,ABT,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,6,MALE_BODY RECOMP_BEGINNER_SINGLE_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,BODY RECOMP,BEGINNER,MULTI,ABT,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,3,MALE_BODY RECOMP_BEGINNER_MULTI_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_3
MALE,BODY RECOMP,BEGINNER,MULTI,ABT,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,4,MALE_BODY RECOMP_BEGINNER_MULTI_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_4
MALE,BODY RECOMP,BEGINNER,MULTI,ABT,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,5,MALE_BODY RECOMP_BEGINNER_MULTI_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_5
MALE,BODY RECOMP,BEGINNER,MULTI,ABT,NULL,LEAN,EIGHTEEN_TO_FORTY_FIVE,6,MALE_BODY RECOMP_BEGINNER_MULTI_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
