gender,age,body_type,level,goal,focus_area,muscle_split_type,workout_days,problem_area,plan_title
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,STAY FIT,ABT,SINGLE,6,NULL,MALE_STAY FIT_NOVICE_SINGLE_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,STAY FIT,ABT,MULTI,3,NULL,MALE_STAY FIT_NOVICE_MULTI_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_3
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,STAY FIT,ABT,MULTI,4,NULL,MALE_STAY FIT_NOVICE_MULTI_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_4
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,STAY FIT,ABT,MULTI,6,NULL,MALE_STAY FIT_NOVICE_MULTI_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,STAY FIT,ABT,PUSH_PULL_LEGS,3,NULL,MALE_STAY FIT_NOVICE_PUSH_PULL_LEGS_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_3
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,STAY FIT,ABT,PUSH_PULL_LEGS,4,NULL,MALE_STAY FIT_NOVICE_PUSH_PULL_LEGS_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_4
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,STAY FIT,ABT,PUSH_PULL_LEGS,6,NULL,MALE_STAY FIT_NOVICE_PUSH_PULL_LEGS_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,GAIN MUSCLE,NULL,SINGLE,5,NULL,MALE_GAIN MUSCLE_NOVICE_SINGLE_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_5
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,GAIN MUSCLE,NULL,SINGLE,6,NULL,MALE_GAIN MUSCLE_NOVICE_SINGLE_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,GAIN MUSCLE,NULL,MULTI,3,NULL,MALE_GAIN MUSCLE_NOVICE_MULTI_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_3
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,GAIN MUSCLE,NULL,MULTI,4,NULL,MALE_GAIN MUSCLE_NOVICE_MULTI_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_4
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,GAIN MUSCLE,NULL,MULTI,5,NULL,MALE_GAIN MUSCLE_NOVICE_MULTI_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_5
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,GAIN MUSCLE,NULL,MULTI,6,NULL,MALE_GAIN MUSCLE_NOVICE_MULTI_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,GAIN MUSCLE,NULL,PUSH_PULL_LEGS,6,NULL,MALE_GAIN MUSCLE_NOVICE_PUSH_PULL_LEGS_NONE_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,GAIN MUSCLE,ABT,SINGLE,5,NULL,MALE_GAIN MUSCLE_NOVICE_SINGLE_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_5
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,GAIN MUSCLE,ABT,SINGLE,6,NULL,MALE_GAIN MUSCLE_NOVICE_SINGLE_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_6
MALE,EIGHTEEN_TO_FORTY_FIVE,LEAN,NOVICE,GAIN MUSCLE,ABT,MULTI,3,NULL,MALE_GAIN MUSCLE_NOVICE_MULTI_ABT_NULL_LEAN_EIGHTEEN_TO_FORTY_FIVE_3
